Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
1,461208824,ASOCIAŢIA IACOB MICUL LORD,GRĂDINIŢA MICUL LORD,BACĂU,MUNICIPIUL BACĂU,BACĂU,Cu personalitate juridică,Unitate de învățământ,Privată
2,2531100059,CASA CORPULUI DIDACTIC,CCDMH,DROBETA-TURNU SEVERIN,MUNICIPIUL DROBETA-TURNU SEVERIN,MEHEDINŢI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
3,2131100576,CASA CORPULUI DIDACTIC,CASA CORPULUI DIDACTIC,SLOBOZIA,MUNICIPIUL SLOBOZIA,IALOMIŢA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
4,1131100081,CASA CORPULUI DIDACTIC,CCD CARAS-SEVERIN,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
5,631100135,CASA CORPULUI DIDACTIC A JUDEȚULUI BISTRIȚA-NĂSĂUD,CCD BISTRIȚA-NĂSĂUD,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
6,1031103642,CASA CORPULUI DIDACTIC A JUDEȚULUI BUZĂU,CCD BUZAU,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
7,131100079,CASA CORPULUI DIDACTIC ALBA,CCD ALBA,ALBA IULIA,MUNICIPIUL ALBA IULIA,ALBA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
8,231100046,"CASA CORPULUI DIDACTIC ""ALEXANDRU GAVRA"" ARAD",CCD ARAD,ARAD,MUNICIPIUL ARAD,ARAD,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
9,1931104634,"CASA CORPULUI DIDACTIC ""APÁCZAI CSERE JÁNOS"" MIERCUREA CIUC","CCD ""APACZAI"" MIERCUREA CIUC",MIERCUREA CIUC,MUNICIPIUL MIERCUREA CIUC,HARGHITA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
10,331100108,CASA CORPULUI DIDACTIC ARGEȘ,CCD ARGEȘ,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
11,731104748,CASA CORPULUI DIDACTIC BOTOSANI,CCD BOTOSANI,BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
12,831101454,Casa Corpului Didactic Brașov,Casa Corpului Didactic Brașov,BRAŞOV,MUNICIPIUL BRAŞOV,BRAŞOV,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
13,931100058,CASA CORPULUI DIDACTIC BRĂILA,CASA CORPULUI DIDACTIC BRĂILA,BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Casa corpului didactic,Publică de interes naţional şi local
